Name	Latitude	Longitude
Gulf of Aden	12	48
Barcelona	41.38879	2.15899
Great Lakes	26.50687	127.94581
Colombia	4	-73.25
Kangpokpi	25.15114	93.9695
France’s	NA	NA
Belarus	53	28
Iowa	42.00027	-93.50049
Tel Aviv’s	32.08088	34.78057
Libya	28	17
Africa	7.1881	21.09375
Thameen Darby	NA	NA
Malaysia	2.5	112.5
USA	39.76	-98.5
Alborz	36.01117	50.80956
Palestinian Territories	31.92157	35.20329
West Beirut	51.48653	-0.40583
the Via Maris	-34.5652	142.4346
#October7	NA	NA
Israel’s	NA	NA
the Asia-Pacific	51.50828	-0.1652
al-Jiftlik	32.1407	35.48738
the Middle East Eye	-25.58333	20.38333
Ras Issa	34.11528	35.72278
Bab-el-Mandeb strait	12.60416	43.33557
Amman	31.95522	35.94503
Cameroon	6	12.5
China’s	NA	NA
Sabra	34.83042	-1.547
Hungary	47	20
Slovenia	46.08333	15
Morocco’s	NA	NA
Islamabad	33.72148	73.04329
New York’s Ellis Island	29.80929	-89.70759
Gaza	31.50161	34.46672
the Gulf of Oman	40.11286	-74.047
Ashdod	31.79213	34.64966
Khirbet Selm	33.22931	35.42407
Baghdad	33.34058	44.40088
al-Saftawi	29.07694	48.08389
Marib	15.6213	46.0111
al-Ahli	29.07694	48.08389
Silwad	31.97625	35.2613
Kuwait	29.5	47.75
East Beirut	37.02332	-77.36954
Israel’s Haifa	NA	NA
Maghreb	30	5
Munich	48.13743	11.57549
Greece	39	22
Afghanistan	33	66
Akrotiri	36.35796	25.3976
Aroura	38.92219	-111.93409
Harvey	41.61003	-87.64671
Austria	47.33333	13.33333
Mawasi	32.48133	68.85529
Cyprus	35.00304	32.98791
Tel Aviv	32.08088	34.78057
Aizawl	23.72894	92.71791
Maroun El Ras	33.10381	35.4444
Tunisia	34	9
@carogennez	NA	NA
Syria’s	NA	NA
Australia’s	NA	NA
Cape Town	-33.92584	18.42322
Panjgur, Pakistan’s Balochistan province	NA	NA
al-Mazraa Asharqiya	30.50316	47.81507
Sydney	-33.86785	151.20732
Bulgaria	42.66667	25.25
Swaziland	-26.5	31.5
La France	45.20507	5.74629
Area C	-25.55132	-54.61622
Damascus	33.5102	36.29128
Kerman	30.28321	57.07879
Iraq	33	44
Bosnia	44	18
the Islamic Republic of Iran	42.46945	-98.68759
Makhoul	33.40788	37.3558
Washington’s	NA	NA
Anadolu	39	35
Syria’s Golan Heights	36.28562	-92.26543
Sanaa	15.35472	44.20667
the United Kingdom	57.27694	-133.65278
Houthis’	NA	NA
Ansarallah	NA	NA
Egypt’s	NA	NA
the Republic of Yemen	38.889	-77.00525
Hyderabad	17.38405	78.45636
Mizoram’s	NA	NA
Bosnia-Herzegovina	44.25	17.83333
Zurich	47.36667	8.55
The United Kingdom	57.27694	-133.65278
Asia	29.84064	89.29688
Aden	12.77944	45.03667
Uttar Pradesh	27.25	80.75
Kyiv	50.45466	30.5238
South Africa’s	26.5	-81
New York City	40.71427	-74.00597
Srebrenica	44.10748	19.29669
Philadelphi	NA	NA
@azaizamotaz9	NA	NA
@adoniaayebare	NA	NA
South China Sea	51.53782	0.71433
al-Maghazi	30	5
Washington, DC	38.89511	-77.03637
Iran’s	NA	NA
Belgium’s	NA	NA
Romania	46	25
North America	46.07323	-100.54688
Hamra’s	NA	NA
Bab al-Mandeb	12.60416	43.33557
Qatar’s	NA	NA
al-Dabshah	18.05	30.95
Aqaba	29.52667	35.00778
Walla	-2.85662	33.32102
Bani Naim	15.88333	43.78333
New Orleans	29.95465	-90.07507
Pakistan	30	70
Montenegro	42.75	19.25
Kefar Sava	32.175	34.90694
Dena	28.44289	90.28327
Middle Eastern	33.13906	35.85869
Western Sahara	10.01211	105.83224
United States’	39.76	-98.5
Louisiana	31.00047	-92.0004
Ramallah	31.89964	35.20422
East Jerusalem	31.78336	35.23388
Borj el Barajneh	33.84347	35.49874
Rwanda	-2	30
New Zealand	-42	174
Saudi Arabia	25	45
al-Walaja	30.52183	31.29729
Kan	12.00012	8.51672
@RepJayapal	NA	NA
Aleppo	36.20124	37.16117
Israel	31.5	34.75
South Africa	26.5	-81
Dahiyeh	NA	NA
Beit Hanoon	31.5353	34.53579
United States	39.76	-98.5
Norway	62	10
@BasedMikeLee	NA	NA
Haryana’s Panipat	NA	NA
al-Bayda	13.98523	45.57272
Tehran	35.69439	51.42151
Istanbul	41.01384	28.94966
Ahmadiyyah Zawiya	NA	NA
Brussels	50.85045	4.34878
al-Shifa	22.97478	54.19517
The United States	34.31336	-79.63717
Khan Younis	31.34018	34.30627
Haryana	29.25	76.33333
Rehovot	31.89421	34.81199
Calgary	51.05011	-114.08529
Mazzeh	NA	NA
Ohio	40.25034	-83.00018
north📍#Gaza	NA	NA
Ofer	32.62257	34.98302
Santiago	-33.45694	-70.64827
Eastern Mediterranean region	39.42657	41.23464
London	51.50853	-0.12574
Avivim	33.08892	35.47228
Serbia	44.81892	20.45998
Taiz province	13.5	44
Denmark	56	10
West Bank’s	19.38333	-71.21667
al-Mawasi	23.261	57.54
the Bab al-Mandeb Strait	31.24938	-97.53052
Tubas	32.32091	35.36989
Comoros	-12.23333	44.44553
Beirut’s Hamra	32.49724	20.79427
the State of Qatar	-33.21645	146.45597
Arab America	25	45
South Asia	21.28937	78.66211
the Gulf of Aden	-33.21645	146.45597
Yemen’s Red Sea	43.22368	-76.73856
Bern	46.94809	7.44744
America	26.0173	-104.41406
the Persian Gulf	27	51
the United States	34.31336	-79.63717
Estonia	59	26
the Gaza Strip	36.11479	-115.17281
South America	-14.60485	-57.65625
Gaza Strip	31.50161	34.46672
the Jordan River	18.25706	-78.14275
Djibouti	11.83333	42.5
Jabalia	31.5272	34.48347
Southeast Michigan	43.96102	-83.71087
Jarrah	24.05	54.1
MoTaz	NA	NA
Bahaa’s	NA	NA
Berlin	52.52437	13.41053
PA	12.66667	-3.95
Bint Jbeil	33.11944	35.43333
Rohtak	28.89447	76.58917
Oakland	37.80437	-122.2708
Venezuela	8	-66
Beruit	NA	NA
Iowa City	41.66113	-91.53017
the Golan Heights	40.11286	-74.047
Michigan	44.25029	-85.50033
UAE	12.26667	-14.7
Portugal	39.6945	-8.13057
Bani Suheila	31.34337	34.32337
Hormuz	27.5026	54.2839
Beit Nabala	31.5464	34.49514
Finland	64	26
Algeria	28	3
West Jerusalem	31.78199	35.21961
Hague	52.51118	-106.41859
Riyadh	24.68773	46.72185
Bangladesh	24	90
Des Moines	41.60054	-93.60911
Marrakesh	31.63416	-7.99994
Egypt	27	30
the ZIM Ganges	57.27694	-133.65278
Nur Shams	51.1801	71.44598
Britain	54	-2
Crete	35.15585	24.89502
Bureij	31.43944	34.40306
the Islamic Republic	42.72	-71.1925
Malta	35.91667	14.43333
Italy	42.83333	12.83333
Lebanon	33.83333	35.83333
Peru	-10	-75.25
Vietnam	16.16667	107.83333
Geneva	46.20222	6.14569
the Bnei Menashe	40.11286	-74.047
Red Sea	52.26682	-113.802
Iran’s Sistan-Baluchestan province	NA	NA
Abwein	32.03144	35.19992
Indonesia’s	NA	NA
Hodeidah province	20.75	-75.91667
Czech Republic	49.75	15
the Western Sahara	-33.21645	146.45597
al-Tawil’s	13.41667	34.63333
Saada	16.94021	43.76393
the Arabian Sea	57.05838	-3.7259
West	42.77268	-116.9579
Montreal	45.50884	-73.58781
al-Karama	26.22787	50.58565
al-Fukhari	31.29278	34.33061
Somalia	6	48
Hebron	31.52935	35.0938
Bahaa el-Din Abu Ras	32.32973	62.08171
Spain	40	-4
Abudaqa	NA	NA
@Benarasiyaa	NA	NA
Africa’s Cape of Good Hope	42.3601	-71.06588
Beit Shemesh	31.73072	34.99293
South Africansfrom	38.02807	-97.94033
Strip	-27.51667	27.05
Melbourne, Australia	-37.814	144.96332
the Bab-el-Mandeb Strait	31.24938	-97.53052
Nairoukh	NA	NA
Deir al-Balah	31.41834	34.34933
South Sudan	7.5	30
Ireland	53	-8
Supernova	NA	NA
Jerusalem	31.76904	35.21633
Hodeidah	14.79781	42.95452
Yemen’s southern coast	NA	NA
India	22	79
Taiz	13.57952	44.02091
Mozambique	-18.25	35
Cairo	30.06263	31.24967
the West Bank	-10.42172	105.67912
Gaza‘s	NA	NA
Miraj	16.8671	74.70146
Farhana	NA	NA
al-Mazra’a	26.22787	50.58565
Jordan’s	NA	NA
the Indian Ocean	57.05838	-3.7259
Nir Am	31.51959	34.58006
Hebrew	NA	NA
Entebbe, Uganda	0.05621	32.47949
Balakhiyah	NA	NA
Dahiyeb	NA	NA
Gretna	41.14083	-96.23974
Switzerland	47.00016	8.01427
Lake Michigan	44.00778	-86.75698
the Red Sea	-20.03085	45.695
Rask	29.49114	57.18543
the Cape of Good Hope	37.00724	-75.98329
Rawaa’s	NA	NA
Iraq’s	NA	NA
Har Gilo	31.72119	35.1724
Sudan	16	30
Vienna	48.20849	16.37208
The Hague	52.07667	4.29861
Al Maniya	41	20
the Eastern Mediterranean	41.88445	-91.71073
Darby’s Nakba	NA	NA
Zeitoun	34.06222	35.68528
Lebanon’s Nabatieh	NA	NA
Ibil El Saqi	33.35667	35.62639
Welch’s	NA	NA
the Global South	40.04866	-90.20842
Gisha	-1.744	29.9586
Kuala Lumpur	3.1412	101.68653
Tulkarem	32.31156	35.0269
Ottawa	45.41117	-75.69812
Bab al-Mandeb Strait	12.60416	43.33557
Yemen’s coast	NA	NA
Toronto	43.70643	-79.39864
Moscow	55.75222	37.61556
Mexico	23	-102
al-Nasser	13.62793	25.34936
Farsiya	35.95584	42.96643
Al Rayyan	25.29194	51.42444
Hamad	31.40307	48.45684
Raanana	32.1836	34.87386
Southern Africa	-27.11781	22.28027
Yemen’s	NA	NA
DC	38.91706	-77.00025
Panjgur	26.75	64
Seychelles	-4.58333	55.66667
Columbia	4	-73.25
Hezbollah’s	NA	NA
Qalqilya	32.18583	35.06583
Mediterranean’s	NA	NA
Houthi	NA	NA
Haifa	32.81841	34.9885
Ocean Jazz	-10	70
New York	40.71427	-74.00597
Anthedon	38.49842	23.44886
Shawawra	NA	NA
Israel’s Goren	NA	NA
Jama’a Islamiya	NA	NA
the Hashemite Kingdom of Jordan	25.7251	-80.24283
the Marshall Islands	-20.03085	45.695
Davos	46.80429	9.83723
Limassol	34.68406	33.03794
Gaza Strip’s	31.41667	34.33333
Dead Sea	44.86777	-73.62391
Florida	28.75054	-82.5001
U.S.	39.76	-98.5
Uganda	1.25	32.5
Caesarea	38.73222	35.48528
the Middle East	-10.42172	105.67912
South Korea	36.5	127.75
Egypt’s Sinai Peninsula	NA	NA
Kosovo	42.58333	20.91667
Nablus	32.22111	35.25444
Jericho	31.86667	35.45
Israel's	31.5	34.75
Minnesota	46.25024	-94.25055
Kolasib	24.22388	92.67869
Dublin	53.33306	-6.24889
Charleston	32.77632	-79.93275
Tawfiq	33.01842	44.38071
Colombo’s Kollupitiya	NA	NA
Herzegovina	43	17.83333
Philippines	13.40882	122.56155
Eurasia	87	80
Kadri’s	NA	NA
Manchester	42.99564	-71.45479
The Islamic Republic	42.72	-71.1925
Israel-Palestine	31.5	34.75
Mandeb Strait	4	100
Dahiya	8.0264	80.533
Ajaq	35.64005	48.84628
Alaska	64.00028	-150.00028
Europe	48.69096	9.14062
Yir’on	NA	NA
North Africa	32.95337	9.97559
Oslo	59.91273	10.74609
Karem Abu Salem	30.486	31.60823
Mattat	33.04134	35.35858
Syria	35	38
Basel	47.55839	7.57327
France	46	2
Southern Red Sea	21.28937	78.66211
Brisbane	-27.46794	153.02809
Pretoria	-25.74486	28.18783
Netanyahu’s	NA	NA
Idlib	35.93062	36.63393
Kerem Shalom	31.22777	34.28459
Sderot	31.525	34.59693
Dabbouch	NA	NA
Johannesburg	-26.20227	28.04363
West Bank	19.38197	-81.39281
Areas A	-16.39889	-71.535
Chile	-30	-71
Kanaker	40.22302	44.53986
El Arish	31.13159	33.79844
Mercator	NA	NA
Hong Kong	22.27832	114.17469
Al-Aqsa	31.78961	35.74988
Tel Israel’s	32.65627	35.30216
az-Zahra	29.27524	47.99567
Syria’s Aleppo	NA	NA
QFFD	NA	NA
The Gaza Strip	-26.25	28
Japan	35.68536	139.75309
Texas	31.25044	-99.25061
the Nakba Layer	34.31336	-79.63717
Sierra Leone	8.5	-11.5
@MirandaCleland	NA	NA
the Arabian Gulf	27	51
Al-Masjid al-Omari al-Kabir	31.4294	47.20355
Palestine	31.92157	35.20329
Hanita	33.08746	35.17364
Washington	47.50012	-120.50147
Ankara	39.91987	32.85427
Chicago	41.85003	-87.65005
Scotland	56	-4
Hamra	31.81088	-8.27151
Manchester City	42.99564	-71.45479
Beit Lahiya	31.5464	34.49514
Al-Fukhari	31.29278	34.33061
Nevatim	31.22417	34.88098
The Golan Heights	40.11286	-74.047
Doha	25.28545	51.53096
Sandridge Beach	-37.83931	144.91747
Shatila	42.65879	45.15632
Dubai	25.07725	55.30927
Beersheba	31.25181	34.7913
Manipur	25	94
Netivot	31.42305	34.58911
East Timor	-8.83333	125.75
@TomWhiteGaza	NA	NA
Arura	9.8694	76.30498
Rmeish	NA	NA
WestBank	49.83521	-119.62532
South Carolina	34.00043	-81.00009
Heliopolis	36.50361	7.44278
Northern Gaza	54.77535	-105.64453
Middle East	33.13906	35.85869
the Red Sea.	-20.03085	45.695
US	49.1	1.96667
Indonesia	-5	120
Yugoslavia	44	19.75
al-Mazra’a Asharqiya	30.50316	47.81507
Zawayda	NA	NA
New Delhi	28.62137	77.2148
al-Tanf	30.05	39.6
West Bengal	19.38333	-71.21667
India’s Basmati	NA	NA
Kurdistan	37	44
Gaza’s	NA	NA
Santa Clara	22.40694	-79.96472
Shujayea	NA	NA
the Near East	-10.42172	105.67912
Crimea	45	34
Bihar	25.75	85.75
the Bab al-	-34.43943	143.14742
the Gaza strip	-26.25	28
the Sistan-Baluchestan province	40.98975	27.96055
Bab al-Mandeb strait	12.60416	43.33557
the Strip	-34.43943	143.14742
Nuseirat	31.44861	34.3925
Iceland	65	-18
Gaza city	31.50161	34.46672
Salem	44.9429	-123.0351
Levant	34	36
the Kingdom of Judah	-33.21645	146.45597
Mizoram	23	93
Lama Khater	9.55111	1.18611
Beirut’s Shatila	NA	NA
Kampala	0.31628	32.58219
Dhekelia	35.01667	33.775
Maldives	3.2	73
al-Arouri	29.07694	48.08389
Dearborn	42.32226	-83.17631
Sidon	33.55751	35.37148
Margaliot	NA	NA
Australia	-25	135
Bab el-Mandeb strait	12.60416	43.33557
Lisbon	38.71667	-9.13333
Sri Lanka	7.75	80.75
al-Amal	29.07694	48.08389
Gaza’s Daraj	NA	NA
Paltel	32.08712	35.18388
Ebel el-Saqi	33.35667	35.62639
al-Katiba	23.76556	57.2525
Belgium	50.75	4.5
the Republic of Cyprus	-35.2715	147.07532
Detroit	42.33143	-83.04575
al-Mahatta	26.22787	50.58565
Iran	32	53
Mediterranean	35.78	19.33
Moldova	47.25	28.58333
Maghazi	31.42234	34.38501
Bahrain	26.03333	50.55
the Old City of Gaza	13.75398	100.50144
Syria’s Damascus	NA	NA
Western Cape province	40.64575	-79.91382
Lebanon’s	NA	NA
Erbil	36.19117	44.00943
West Beirutis	19.38333	-71.21667
Paris	48.85341	2.3488
the State of Palestine	37.00724	-75.98329
Deir el-Balah	31.41834	34.34933
United Kingdom	54.75844	-2.69531
@majedalansari	NA	NA
Namibia	-22	17
the Strait of Hormuz	-20.5493	130.3472
Naqoura	33.11806	35.13972
Central Gaza Strip	-2.02107	24.69727
Thailand	15.5	101
Wayne County	-36.75	175
Eilat	29.55805	34.94821
al-Khader	25.68389	51.50583
Washington DC	47.50012	-120.50147
al-Fawakhir	29.0825	48.13028
Hamoud	15.64004	-11.51864
Uganda’s	NA	NA
the League of Arab States	45.16002	-121.16778
Rashidiya	25.22499	55.38947
X.	19.22364	-70.53051
the Blue Line	34.73897	-85.77997
the Mediterranean Sea	-20.5493	130.3472
Kiryat Shmona	33.20733	35.57212
al-Mawasi district	36.33271	43.10555
Ukraine	49	32
Rafah	31.29722	34.24357
@NaksBilal	NA	NA
al-Mughraqa	30	5
The Red Sea	-20.03085	45.695
Mefalsim	31.50125	34.5637
Khreis’s	NA	NA
Sweden's	62	15
Maghazi Roads	43.84258	-68.88115
the Bekaa Valley	18.21704	-63.05783
UP	43.62841	6.22477
Malkia	60.75482	24.06197
Germany	51.5	10.5
the Litani River	18.25706	-78.14275
Russia	60	100
Rabat	34.01325	-6.83255
the Jordan Valley	34.31336	-79.63717
Tell el-Ajjul	33	35.16667
Dura	28.8	49.23333
Jenin	32.45943	35.30086
Al Jazeera’s	14.6	33.35
Taalbaya	NA	NA
Adamit	33.07971	35.21103
Pakistan’s Balochistan province	41.22825	33.15674
Bolivia	-17	-65
El Amal City Hospital	32.893	0.54839
DRC	-17.98192	20.76806
the Republic of Korea	45.16002	-121.16778
Sistan-Baluchestan	28.5	60.5
Haryana’s Jind	NA	NA
Jawwal	NA	NA
Salameh’s	NA	NA
Bethlehem	40.62593	-75.37046
Gaza City	31.50161	34.46672
Deir Qaddis	35.33588	40.14084
Gilo	-7.45	-40.83333
Calves Hill	42.27426	-71.32284
Balochistan	28.47849	65.64355
the United Arab Emirates	45.16002	-121.16778
Sarit	35.47569	71.45229
Canada	60.10867	-113.64258
Silicon Valley	37.37	-122.04
#RedSea	NA	NA
China	35	105
Flanders	51	4.5
Kashmir	30.33315	63.19089
Copenhagen	55.67594	12.56553
@Palestine_UN	NA	NA
Dhamar	14.54274	44.40514
Shadi’s	NA	NA
Mecca	21.42664	39.82563
Al-Bayda	13.98523	45.57272
Morocco	28.5	-10
Gaza’s Deir el-Balah	22.59767	-12.56362
UK	54.75844	-2.69531
the Republic of South Africa	44.68418	-122.78435
Khan Yunis	31.34018	34.30627
Mackinac Island	43.68897	-70.2331
the Gaza Strip	-26.25	28
Jordan	31	36
Wallonia	50.5	4.75
Madrid	40.4165	-3.70256
Jakarta	-6.21462	106.84513
Kabul	34.52813	69.17233
Milton, Ontario	43.51681	-79.88294
Lucknow	26.83928	80.92313
the South China Sea	-62.20001	-58.96109
Ein al-Hilweh	33.54167	35.37778
Wadi Gaza	15	21.5
Gaza City’s Zeitoun	35.65832	65.18016
Tal al-Hawa	36.74833	42.30685
Earth	0	0
Byzantium	41.01384	28.94966
Netherlands	52.25	5.75
Golan Heights	32.90485	35.80725
Cedar Rapids	42.00833	-91.64407
Zar’it	NA	NA
Melbourne	-37.814	144.96332
Entebbe	0.05621	32.47949
Qatar	25.5	51.25
The United Arab Emirates	45.16002	-121.16778
Tida	31.24415	30.83845
Hamas’s	NA	NA
Africa4Palestine	NA	NA
Chile’s	NA	NA
Myanmar	21	96
Sweden	62	15
Turkey	39	35
Beirut	33.89332	35.50157
Singapore	1.36667	103.8
Hajjah	15.69425	43.60582
Beirut’s	NA	NA
Daraj	33.24567	59.54541
California	37.25022	-119.75126
Kiryat Arba	33.20733	35.57212
Gulf	-7.7246	145.08545
the State of Israel	-62.20001	-58.96109
Pashias	NA	NA
Yaroun	33.08028	35.4225
Oman	21	57
Yemen	15.5	47.5
@RepCori	NA	NA
Mariupol	47.09514	37.54131
@zarahsultana	NA	NA
